Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
aacounty.org,,County Government,Maryland,accepted term,"Anne Arundel County, MD -- Note added 4/21/14 14:52",http://www.aacounty.org/,6/6/13 18:08
accessesmeralda.com,,County Government,Nevada,accepted term,"County of Esmeralda, NV -- Note added 11/18/13 14:25",http://www.accessesmeralda.com/,6/6/13 18:08
accidentmd.org,,County Government,Maryland,accepted term,"Accident Maryland, located in Garrett County, MD. -- Note added 4/29/14 14:21",http://www.accidentmd.org,6/6/13 18:08
acgov.org,,County Government,California,accepted term,"Alameda, CA County website -- Note added 2/27/15 18:18",http://acgov.org/,6/6/13 18:08
aclink.org,,County Government,New Jersey,accepted term,"Atlantic County, NJ  -- Note added 6/27/14 13:13",http://www.aclink.org/,6/6/13 18:08
adamscounty.org,,County Government,Nebraska,accepted term,"Adams County, NE -- Note added 12/6/13 18:48",http://adamscounty.org/,6/6/13 18:08
adamscounty.us,,County Government,Pennsylvania,accepted term,"Adams County, PA -- Note added 7/24/13 18:55",http://www.adamscounty.us/Pages/Home.aspx,6/6/13 18:08
adaweb.net,,County Government,Idaho,accepted term,"Ada County, ID -- Note added 7/14/14 13:54",https://adacounty.id.gov/,6/6/13 18:08
akoltco.org,,County Government,Alaska,accepted term,Alaska Office of Long Term Care Ombudsman -- Note added 6/27/14 6:06,http://akoltco.org/,6/6/13 18:08
alachuacounty.us,,County Government,Florida,accepted term,"Alachua County, FL -- Note added 6/6/13 18:08",http://alachuacounty.us/Pages/AlachuaCounty.aspx,6/6/13 18:08
albanycounty.com,,County Government,New York,accepted term,"Albany County, NY -- Note added 12/6/13 13:38",http://albanycounty.com/Home.aspx,6/6/13 18:08
albemarle.org,,County Government,Virginia,accepted term,"Albemarle County, VA -- Note added 5/27/14 14:17",http://www.albemarle.org/,6/6/13 18:08
allegancounty.org,,County Government,Michigan,accepted term,"allegan county, nh -- Note added 9/2/15 19:55",http://cms.allegancounty.org/sitepages/default.aspx#.VedTH_lViko,6/6/13 18:08
alleganyco.com,,County Government,New York,accepted term,"Allegany County, NY -- Note added 6/7/15 19:57",http://alleganyco.com/,6/6/13 18:08
alleghanycounty.us,,County Government,Virginia,accepted term,"Alleghany County, VA -- Note added 8/28/13 12:11",http://www.alleghanycounty.us/index.html,6/6/13 18:08
alleghenycounty.us,,County Government,Pennsylvania,accepted term,"Allegheny County, PA -- Note added 7/24/13 13:26",http://alleghenycounty.us/,7/24/13 13:26
allencounty.org,,County Government,Kansas,accepted term,"Allen County, KS -- Note added 6/30/14 6:17",http://allencounty.org/,6/6/13 18:08
allencountykentucky.com,,County Government,Kentucky,accepted term,"allen county, Ky -- Note added 8/27/15 15:11",http://allencountykentucky.com/,6/6/13 18:08
allendalecounty.com,,County Government,South Carolina,accepted term,"Allendale County, SC -- Note added 7/23/13 19:51",http://allendalecounty.com/,6/6/13 18:08
alpenacounty.org,,County Government,Michigan,accepted term,"alpena county, mi -- Note added 9/2/15 19:55",http://alpenacounty.org/,6/6/13 18:08
alphaboro.org,,County Government,New Jersey,accepted term,"Borough of Alpha, NJ (Warren County) -- Note added 6/30/14 11:46",http://alphaboro.org/,6/6/13 18:08
alpinenj07620.org,,County Government,New Jersey,accepted term,"Borough of Alpine, NJ (Bergen County) -- Note added 6/30/14 11:48",http://alpinenj07620.org/index.html,6/6/13 18:08
